Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Brazil,2019,SQL Injection,Banking,826256,Nation-state,Zero-day,VPN,50,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2017,DDoS,IT,617543,Unknown,Zero-day,Antivirus,43,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
USA,2017,SQL Injection,Banking,895507,Unknown,Social Engineering,AI-based Detection,52,Hacking/Intrusion,Finance,North America,High Income,Western,Pre-Pandemic,False
UK,2020,SQL Injection,Healthcare,2233,Unknown,Social Engineering,Antivirus,45,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,True
Japan,2022,Phishing,Government,76776,Unknown,Unpatched Software,Firewall,42,Social Engineering,Government,Asia,High Income,Eastern,Post-Pandemic,False
China,2019,Ransomware,Retail,175261,Nation-state,Zero-day,VPN,64,Malware,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Australia,2016,Man-in-the-Middle,Healthcare,746369,Insider,Unpatched Software,Antivirus,30,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Pre-Pandemic,True
Australia,2017,Malware,Healthcare,563706,Nation-state,Unpatched Software,AI-based Detection,35,Malware,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
India,2022,DDoS,Healthcare,254980,Insider,Unpatched Software,AI-based Detection,58,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Russia,2021,Malware,Education,869574,Unknown,Unpatched Software,Antivirus,16,Malware,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2015,Malware,IT,282598,Unknown,Zero-day,VPN,21,Malware,Technology,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2023,Malware,Telecommunications,422623,Nation-state,Zero-day,AI-based Detection,55,Malware,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2021,Malware,Healthcare,937717,Unknown,Unpatched Software,Encryption,56,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
India,2021,Man-in-the-Middle,Telecommunications,416077,Insider,Social Engineering,VPN,39,Hacking/Intrusion,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Australia,2019,Man-in-the-Middle,Banking,112313,Insider,Social Engineering,Firewall,63,Hacking/Intrusion,Finance,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2017,Man-in-the-Middle,Telecommunications,799971,Insider,Zero-day,Firewall,63,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,False
Japan,2018,Man-in-the-Middle,Retail,690595,Hacker Group,Social Engineering,Antivirus,71,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Pre-Pandemic,False
India,2017,Man-in-the-Middle,Government,713419,Hacker Group,Unpatched Software,AI-based Detection,70,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Australia,2022,Man-in-the-Middle,Healthcare,707365,Hacker Group,Zero-day,Antivirus,38,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2016,Malware,Healthcare,155059,Unknown,Unpatched Software,Antivirus,29,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
Russia,2022,Phishing,Banking,923558,Insider,Weak Passwords,Encryption,41,Social Engineering,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Germany,2022,DDoS,Telecommunications,239313,Nation-state,Social Engineering,AI-based Detection,6,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Russia,2023,Ransomware,Telecommunications,874485,Hacker Group,Weak Passwords,Antivirus,48,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2016,SQL Injection,Healthcare,90895,Unknown,Social Engineering,VPN,29,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,True
China,2015,Man-in-the-Middle,Retail,529593,Hacker Group,Zero-day,VPN,64,Hacking/Intrusion,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2018,Phishing,Government,610201,Nation-state,Weak Passwords,VPN,72,Social Engineering,Government,Europe,High Income,Western,Pre-Pandemic,False
USA,2021,DDoS,Telecommunications,863623,Hacker Group,Weak Passwords,Firewall,24,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Post-Pandemic,False
USA,2018,Malware,Healthcare,755771,Insider,Weak Passwords,Antivirus,44,Malware,Healthcare,North America,High Income,Western,Pre-Pandemic,False
Japan,2021,SQL Injection,Telecommunications,164032,Unknown,Social Engineering,Firewall,5,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
Russia,2019,Man-in-the-Middle,Telecommunications,259993,Nation-state,Weak Passwords,Antivirus,58,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
UK,2019,Phishing,Retail,232359,Unknown,Social Engineering,Firewall,17,Social Engineering,Retail,Europe,High Income,Western,Pre-Pandemic,False
Germany,2018,Phishing,Telecommunications,800031,Unknown,Unpatched Software,Encryption,10,Social Engineering,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
UK,2016,Phishing,Healthcare,925040,Unknown,Unpatched Software,Encryption,48,Social Engineering,Healthcare,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2016,Malware,IT,273469,Insider,Social Engineering,AI-based Detection,67,Malware,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
Germany,2024,Malware,Banking,797768,Insider,Zero-day,Firewall,58,Malware,Finance,Europe,High Income,Western,Post-Pandemic,True
Japan,2022,DDoS,Education,905203,Hacker Group,Weak Passwords,Antivirus,37,Hacking/Intrusion,Education,Asia,High Income,Eastern,Post-Pandemic,False
India,2023,Phishing,Telecommunications,512291,Insider,Zero-day,AI-based Detection,51,Social Engineering,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
UK,2017,Phishing,Telecommunications,416833,Insider,Social Engineering,VPN,9,Social Engineering,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
UK,2015,Ransomware,Government,744505,Nation-state,Unpatched Software,Antivirus,43,Malware,Government,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2020,Malware,Banking,755029,Nation-state,Weak Passwords,Firewall,27,Malware,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Brazil,2017,Malware,Banking,660182,Insider,Weak Passwords,AI-based Detection,21,Malware,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
India,2016,Ransomware,Retail,403737,Insider,Zero-day,Firewall,26,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
China,2019,DDoS,Retail,86783,Nation-state,Weak Passwords,Antivirus,12,Hacking/Intrusion,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Australia,2022,DDoS,Telecommunications,390083,Nation-state,Social Engineering,VPN,72,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2023,Man-in-the-Middle,Banking,376174,Unknown,Social Engineering,Firewall,43,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
UK,2022,Ransomware,Government,485080,Insider,Weak Passwords,Antivirus,61,Malware,Government,Europe,High Income,Western,Post-Pandemic,False
France,2024,Ransomware,Banking,759804,Unknown,Unpatched Software,AI-based Detection,47,Malware,Finance,Europe,High Income,Western,Post-Pandemic,True
Japan,2017,Phishing,IT,286208,Hacker Group,Zero-day,Firewall,57,Social Engineering,Technology,Asia,High Income,Eastern,Pre-Pandemic,False
USA,2017,Malware,IT,992377,Nation-state,Unpatched Software,Antivirus,33,Malware,Technology,North America,High Income,Western,Pre-Pandemic,False
USA,2021,Man-in-the-Middle,Education,48987,Unknown,Zero-day,VPN,58,Hacking/Intrusion,Education,North America,High Income,Western,Post-Pandemic,False
Russia,2021,SQL Injection,Telecommunications,538602,Insider,Unpatched Software,VPN,19,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2015,Malware,Healthcare,808392,Hacker Group,Weak Passwords,AI-based Detection,4,Malware,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
UK,2015,Ransomware,IT,21580,Unknown,Weak Passwords,AI-based Detection,14,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,False
France,2020,Phishing,Government,209658,Insider,Zero-day,VPN,11,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,True
Japan,2017,Man-in-the-Middle,Retail,559889,Nation-state,Zero-day,VPN,10,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Pre-Pandemic,False
France,2015,SQL Injection,Government,344516,Insider,Zero-day,VPN,28,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
Australia,2024,Phishing,Retail,897569,Hacker Group,Social Engineering,AI-based Detection,66,Social Engineering,Retail,Oceania,High Income,Western,Post-Pandemic,True
Australia,2023,SQL Injection,Healthcare,538688,Nation-state,Zero-day,Encryption,36,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
China,2015,DDoS,Government,303975,Nation-state,Social Engineering,Firewall,2,Hacking/Intrusion,Government,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2022,SQL Injection,Telecommunications,822256,Insider,Unpatched Software,Firewall,60,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
Russia,2019,Man-in-the-Middle,Healthcare,521877,Unknown,Zero-day,Encryption,66,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2016,SQL Injection,Education,758258,Unknown,Zero-day,Encryption,44,Hacking/Intrusion,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
Brazil,2016,DDoS,IT,988369,Hacker Group,Weak Passwords,AI-based Detection,26,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
France,2022,Malware,Healthcare,325521,Hacker Group,Social Engineering,VPN,69,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
Germany,2021,Ransomware,IT,254933,Nation-state,Social Engineering,AI-based Detection,41,Malware,Technology,Europe,High Income,Western,Post-Pandemic,False
UK,2023,DDoS,Government,339144,Hacker Group,Unpatched Software,VPN,26,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,False
India,2022,Ransomware,Education,170002,Unknown,Unpatched Software,AI-based Detection,54,Malware,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Japan,2019,DDoS,Government,491269,Nation-state,Zero-day,Firewall,67,Hacking/Intrusion,Government,Asia,High Income,Eastern,Pre-Pandemic,False
China,2019,Phishing,Banking,341100,Insider,Social Engineering,Firewall,37,Social Engineering,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2018,DDoS,Government,446170,Insider,Unpatched Software,VPN,72,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
India,2015,Malware,Telecommunications,28398,Insider,Zero-day,Encryption,22,Malware,Telecommunications,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2017,Ransomware,Telecommunications,180698,Hacker Group,Zero-day,Encryption,53,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
Germany,2017,Malware,Healthcare,676384,Unknown,Social Engineering,VPN,44,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2015,Ransomware,Healthcare,961557,Insider,Unpatched Software,Firewall,64,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Japan,2020,Phishing,Education,345334,Hacker Group,Weak Passwords,Antivirus,25,Social Engineering,Education,Asia,High Income,Eastern,Post-Pandemic,True
Russia,2024,Phishing,Education,263407,Nation-state,Zero-day,Antivirus,8,Social Engineering,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Russia,2017,Phishing,IT,791350,Nation-state,Social Engineering,Antivirus,32,Social Engineering,Technology,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2022,Ransomware,Telecommunications,591819,Unknown,Zero-day,Antivirus,49,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2016,SQL Injection,IT,186612,Unknown,Unpatched Software,Antivirus,30,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,True
Japan,2018,Ransomware,Retail,187730,Nation-state,Weak Passwords,AI-based Detection,26,Malware,Retail,Asia,High Income,Eastern,Pre-Pandemic,False
France,2015,SQL Injection,IT,6456,Hacker Group,Social Engineering,Firewall,69,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
Japan,2020,Malware,Banking,762662,Hacker Group,Zero-day,Firewall,56,Malware,Finance,Asia,High Income,Eastern,Post-Pandemic,True
UK,2015,Phishing,IT,256396,Hacker Group,Zero-day,Encryption,29,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2021,SQL Injection,Healthcare,437634,Unknown,Weak Passwords,AI-based Detection,29,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Russia,2015,Malware,Healthcare,80855,Nation-state,Zero-day,AI-based Detection,53,Malware,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2016,Phishing,Retail,967614,Nation-state,Unpatched Software,AI-based Detection,71,Social Engineering,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Japan,2020,Ransomware,IT,934400,Unknown,Social Engineering,VPN,4,Malware,Technology,Asia,High Income,Eastern,Post-Pandemic,True
Germany,2023,Man-in-the-Middle,Telecommunications,547719,Unknown,Weak Passwords,AI-based Detection,22,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
China,2016,Malware,Healthcare,808984,Unknown,Weak Passwords,Firewall,26,Malware,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
Japan,2023,Ransomware,Banking,261038,Nation-state,Social Engineering,Encryption,48,Malware,Finance,Asia,High Income,Eastern,Post-Pandemic,False
China,2024,Phishing,Education,841054,Insider,Zero-day,Antivirus,49,Social Engineering,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
China,2019,Ransomware,IT,175038,Hacker Group,Weak Passwords,VPN,67,Malware,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2022,Phishing,Retail,774613,Hacker Group,Weak Passwords,Encryption,53,Social Engineering,Retail,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2021,Phishing,Healthcare,558357,Hacker Group,Weak Passwords,VPN,49,Social Engineering,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
India,2017,Phishing,Retail,620056,Nation-state,Weak Passwords,Firewall,14,Social Engineering,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Russia,2018,Malware,Healthcare,90640,Unknown,Social Engineering,Encryption,56,Malware,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2022,Ransomware,Retail,449596,Unknown,Unpatched Software,AI-based Detection,3,Malware,Retail,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2020,Ransomware,Healthcare,207842,Nation-state,Social Engineering,Antivirus,40,Malware,Healthcare,Oceania,High Income,Western,Post-Pandemic,True
Germany,2017,Phishing,Retail,908249,Nation-state,Zero-day,AI-based Detection,53,Social Engineering,Retail,Europe,High Income,Western,Pre-Pandemic,False
Japan,2017,Phishing,Healthcare,470895,Nation-state,Social Engineering,Encryption,63,Social Engineering,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
France,2017,Malware,Education,342049,Nation-state,Unpatched Software,AI-based Detection,31,Malware,Education,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2018,Phishing,Banking,316891,Hacker Group,Social Engineering,Antivirus,55,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
India,2019,Man-in-the-Middle,Education,633466,Unknown,Zero-day,AI-based Detection,16,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
USA,2023,Malware,Telecommunications,123866,Nation-state,Zero-day,Firewall,43,Malware,Telecommunications,North America,High Income,Western,Post-Pandemic,False
France,2017,DDoS,Telecommunications,305905,Unknown,Unpatched Software,Encryption,44,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
Russia,2023,SQL Injection,Telecommunications,702942,Nation-state,Unpatched Software,AI-based Detection,34,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2016,Man-in-the-Middle,Retail,11339,Hacker Group,Social Engineering,AI-based Detection,34,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
UK,2017,SQL Injection,Banking,8385,Nation-state,Social Engineering,AI-based Detection,69,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
Russia,2024,Ransomware,Banking,21810,Insider,Zero-day,VPN,48,Malware,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
India,2018,Man-in-the-Middle,Healthcare,7347,Insider,Zero-day,AI-based Detection,7,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Germany,2021,SQL Injection,Education,61463,Hacker Group,Weak Passwords,Antivirus,58,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
Russia,2020,DDoS,Healthcare,683572,Insider,Zero-day,Antivirus,69,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Germany,2015,Malware,Healthcare,654633,Nation-state,Weak Passwords,Antivirus,43,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
